Digi-Key Part Number,Manufacturer Name,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,
3M9322-ND,3M,951103-8622-AR,?,1,?,?,
445-1272-1-ND,TDK,C1608C0G1H180J,?,2,?,?,
445-4112-1-ND,TDK,C1608X5R0J106M_DK,?,1,?,?,
641-1328-1-ND,Comchip,CGRM4001-G,?,1,?,?,
300-8430-ND,CITIZEN,CSA309-12.000MABJ-UB,?,1,?,?,
311-1237-1-ND,YAEGO,CX0603MRX7R6BB104,?,4,?,?,
P10KGCT-ND,Panasonic,ERJ-3GEYJ103V,?,2,?,?,
P330GCT-ND,Panasonic,ERJ-3GEYJ331V,?,1,?,?,
475-1407-1-ND,OSRAM,LG N971-KN-1,?,1,?,?,
568-2092-ND,NXP,LPC2101FBD48,151,?,1,?,?,
CKN9560-ND,C&K,OS102011MA1QS1,?,1,?,?,
296-25270-1-ND,Texas Instruments,TLV70018DDCT,?,1,?,?,
